#flow_id|protocol|first_seen|last_seen|duration|src_ip|src_port|dst_ip|dst_port|ndpi_proto_num|ndpi_proto|proto_by_ip|server_name_sni|c_to_s_pkts|c_to_s_bytes|c_to_s_goodput_bytes|s_to_c_pkts|s_to_c_bytes|s_to_c_goodput_bytes|data_ratio|str_data_ratio|c_to_s_goodput_ratio|s_to_c_goodput_ratio|iat_flow_min|iat_flow_avg|iat_flow_max|iat_flow_stddev|iat_c_to_s_min|iat_c_to_s_avg|iat_c_to_s_max|iat_c_to_s_stddev|iat_s_to_c_min|iat_s_to_c_avg|iat_s_to_c_max|iat_s_to_c_stddev|pktlen_c_to_s_min|pktlen_c_to_s_avg|pktlen_c_to_s_max|pktlen_c_to_s_stddev|pktlen_s_to_c_min|pktlen_s_to_c_avg|pktlen_s_to_c_max|pktlen_s_to_c_stddev|cwr|ece|urg|ack|psh|rst|syn|fin|c_to_s_cwr|c_to_s_ece|c_to_s_urg|c_to_s_ack|c_to_s_psh|c_to_s_rst|c_to_s_syn|c_to_s_fin|s_to_c_cwr|s_to_c_ece|s_to_c_urg|s_to_c_ack|s_to_c_psh|s_to_c_rst|s_to_c_syn|s_to_c_fin|c_to_s_init_win|s_to_c_init_win|server_info|tls_version|quic_version|ja3s|advertised_alpns|negotiated_alpn|tls_supported_versions|ssh_client_hassh|ssh_server_hassh|flow_info|plen_bins|http_user_agent
4|6|1756803393.150|1756803393.833|0.683|10.131.200.96|61867|142.251.209.10|443|91.239|TLS.GoogleServices|Google|geller-pa.googleapis.com|11|2542|1808|9|7333|6731|-0.485|Download|71.1|91.8|2|75.3|187|58.8|0|50.6|263|96.0|0|61.0|228|91.5|66|231.1|1454|399.1|66|814.8|1454|637.5|0|0|0|19|6|0|2|0|0|0|0|10|2|0|1|0|0|0|0|9|4|0|1|0|74|74||TLSv1.3|0|eb1d94daa7e0344597e756a1fb6e7054|h2;http/1.1||GREASE;TLSv1.3;TLSv1.2||||0;0;11;0;0;0;11;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0|
9|17|1756803393.732|1756803394.749|1.017|10.131.200.96|61870|142.251.209.10|443|188.239|QUIC.GoogleServices|Google|www.googleapis.com|17|6126|5412|20|5842|5002|0.024|Mixed|88.3|85.6|1|40.6|163|46.6|0|43.5|169|59.9|0|46.1|192|60.0|73|360.4|1292|496.0|66|292.1|1292|388.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||TLSv1.3|V-1||h3||TLSv1.3||||21;29;10;10;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;13;0;0;0;0;0;0;0;0|
25|17|1756803399.816|1756803400.362|0.546|10.131.200.96|61880|142.251.209.14|443|188.126|QUIC.Google|Google|encrypted-tbn2.gstatic.com|41|7013|5291|73|87168|84102|-0.851|Download|75.4|96.5|1|10.9|104|18.8|0|9.0|119|22.7|0|4.3|86|12.7|73|171.0|1292|317.1|65|1194.1|1292|317.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||TLSv1.3|V-1||h3||TLSv1.3||||23;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;58;0;0;0;0;0;0;0;0|
20|17|1756803399.808|1756803414.135|14.327|10.131.200.96|58879|10.131.200.79|53|5|DNS|Unknown|encrypted-tbn2.gstatic.com|4|339|171|3|504|378|-0.196|Mixed|50.3|74.9|15|2387.2|8451|3383.8|126|4770.0|8524|3485.7|5681|7137.0|8593|1456.0|77|84.8|88|4.5|102|168.0|216|48.2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|||||||142.250.180.174|0;71;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
13|6|1756803394.191|1756803394.456|0.265|10.131.200.96|61874|216.58.209.35|443|91.126|TLS.Google|Google|www.gstatic.com|10|2467|1799|8|6879|6343|-0.472|Download|72.9|92.2|2|37.3|70|26.2|0|20.8|100|36.9|0|25.2|73|29.1|66|246.7|1454|414.6|66|859.9|1454|627.0|0|0|0|17|5|0|2|0|0|0|0|9|2|0|1|0|0|0|0|8|3|0|1|0|74|74||TLSv1.3|0|eb1d94daa7e0344597e756a1fb6e7054|h2;http/1.1||GREASE;TLSv1.3;TLSv1.2||||0;0;12;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;12;0;0;0;0;50;0;0;0;0|
7|6|1756803393.726|1756803394.147|0.421|10.131.200.96|61869|142.251.209.42|443|91.239|TLS.GoogleServices|Google|feedback-pa.googleapis.com|11|2608|1874|8|7272|6736|-0.472|Download|71.8|92.6|2|51.8|118|37.2|0|25.9|120|47.0|0|41.7|140|53.1|66|237.1|1454|402.2|66|909.0|1454|615.0|0|0|0|18|6|0|2|0|0|0|0|10|2|0|1|0|0|0|0|8|4|0|1|0|74|74||TLSv1.3|0|eb1d94daa7e0344597e756a1fb6e7054|h2;http/1.1||GREASE;TLSv1.3;TLSv1.2||||0;0;11;0;0;0;11;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0|
11|6|1756803393.868|1756803404.411|10.543|10.131.200.96|61872|216.58.205.42|443|91.239|TLS.GoogleServices|Google|firebaselogging.googleapis.com|12|2286|1486|11|6782|6048|-0.496|Download|65.0|89.2|1|701.9|10003|2486.0|1|1156.9|10003|3127.9|0|31.4|145|49.4|66|190.5|971|274.5|66|616.5|1454|639.7|0|0|0|22|7|1|2|0|0|0|0|11|3|1|1|0|0|0|0|11|4|0|1|0|74|74||TLSv1.3|0|eb1d94daa7e0344597e756a1fb6e7054|http/1.1||TLSv1.3;TLSv1.2||||10;0;10;0;10;0;0;0;0;0;10;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0|
3|17|1756803393.140|1756803394.654|1.514|10.131.200.96|61866|216.58.209.42|443|188.239|QUIC.GoogleServices|Google|geller-pa.googleapis.com|19|7666|6868|22|12463|11539|-0.238|Download|89.6|92.6|1|56.0|175|51.2|0|68.7|233|90.0|0|48.5|341|89.0|71|403.5|1292|510.1|66|566.5|1292|540.9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||TLSv1.3|V-1||h3||TLSv1.3||||26;19;4;4;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0|
12|17|1756803394.076|1756803400.046|5.970|10.131.200.96|61873|142.251.209.35|443|188.126|QUIC.Google|Google|www.gstatic.com|14|5096|4508|17|14148|13434|-0.470|Download|88.4|94.9|2|391.4|5458|1354.5|0|527.6|5530|1582.5|0|438.0|5569|1481.4|73|364.0|1292|487.8|66|832.2|1292|540.7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||TLSv1.3|V-1||h3||TLSv1.3||||16;19;6;6;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;6;32;0;0;0;0;0;0;0;0|
6|17|1756803393.723|1756803399.229|5.506|10.131.200.96|61868|142.251.209.42|443|188.239|QUIC.GoogleServices|Google|feedback-pa.googleapis.com|23|8532|7566|23|12170|11204|-0.176|Mixed|88.7|92.1|1|174.1|4654|818.6|0|287.6|4770|1088.0|0|33.7|135|43.5|72|371.0|1292|464.5|66|529.1|1292|540.7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||TLSv1.3|V-1||h3||TLSv1.3||||21;23;8;2;0;6;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0|
21|17|1756803399.809|1756803417.204|17.395|10.131.200.96|52238|10.131.200.79|53|5|DNS|Unknown|t2.gstatic.com|4|333|165|4|749|581|-0.384|Download|49.4|77.5|10|2484.4|10211|3935.3|124|5787.0|10263|4223.5|22|5781.0|10306|4288.1|74|83.2|88|5.7|90|187.2|227|56.3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|||||||216.58.204.228|0;62;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
